Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.71075E-5,2.500714591,0.0953002,0.522476928,0,0
7.38437E-5,2.754929133,0.104349633,0.511759452,0,0
8.0014E-5,3.00120049,0.112559509,0.502232807,0,0
8.67524E-5,3.252049423,0.121439271,0.493301578,0,0
9.35456E-5,3.505880846,0.130301396,0.484965764,0.028985507,0
1.00593E-4,3.750248109,0.139400118,0.477523072,0.028985507,0
1.06988E-4,4.009949282,0.147574833,0.470080381,0.028985507,0
1.16295E-4,4.25861087,0.159333223,0.463530813,0.028985507,0
1.2176E-4,4.508951866,0.166161398,0.457278952,0.028985507,0
1.25441E-4,4.756820199,0.170730097,0.451324799,0.028985507,0
1.35154E-4,5.003863236,0.182664928,0.445668354,0.043478261,0
1.43371E-4,5.255327022,0.192626612,0.440309616,0.043478261,0
1.51973E-4,5.505939169,0.202924354,0.435248586,0.043478261,0
1.65079E-4,5.760024736,0.21836366,0.430485263,0.043478261,0
1.72783E-4,6.014085145,0.227298825,0.426019649,0.043478261,0
1.75475E-4,6.257433035,0.230397786,0.421851742,0.043478261,0
1.82398E-4,6.507921487,0.238308505,0.417683834,0.043478261,0
1.88934E-4,6.767124999,0.245701421,0.413515927,0.043478261,0
1.96405E-4,7.017183776,0.254065135,0.409645728,0.043478261,0
2.01466E-4,7.256663796,0.259678423,0.406073236,0.043478261,0
2.07035E-4,7.500986491,0.26580605,0.402500744,0.043478261,0
2.11597E-4,7.751769202,0.270787411,0.398928252,0.043478261,0
2.1688E-4,8.008981076,0.276514341,0.395355761,0.043478261,0
2.24446E-4,8.251982898,0.28463718,0.392080976,0.057971014,0
2.31208E-4,8.502074935,0.291820305,0.388806192,0.057971014,0
2.34849E-4,8.758914742,0.295658619,0.385531408,0.057971014,0
2.39472E-4,9.020461466,0.300501214,0.382256624,0.057971014,0
2.44469E-4,9.262138044,0.305698303,0.379279547,0.057971014,0
2.48542E-4,9.509316192,0.309905382,0.376302471,0.057971014,0
2.54583E-4,9.761653472,0.316099829,0.373325394,0.057971014,0
2.60192E-4,10.019199993,0.321800153,0.370348318,0.057971014,0
2.63825E-4,10.255324745,0.325467101,0.367668949,0.057971014,0
2.69935E-4,10.521674632,0.331590565,0.364691873,0.057971014,0
2.76646E-4,10.767666007,0.338251832,0.362012504,0.057971014,0
2.80864E-4,11.018693113,0.34240465,0.359333135,0.057971014,0
2.86457E-4,11.273949344,0.347869881,0.356653766,0.057971014,0
2.90573E-4,11.5050559,0.351863605,0.354272105,0.057971014,0
2.97646E-4,11.769967291,0.358669483,0.351592736,0.057971014,0
3.02983E-4,12.010274859,0.36375735,0.349211075,0.057971014,0
3.06147E-4,12.254464826,0.366754995,0.346829414,0.057971014,0
3.10461E-4,12.501949871,0.370818208,0.344447752,0.057971014,0
3.12563E-4,12.751271575,0.372789408,0.342066091,0.057971014,0
3.17499E-4,13.003279347,0.377393045,0.33968443,0.057971014,0
3.20418E-4,13.258435828,0.380098659,0.337302769,0.057971014,0
3.26837E-4,13.518357237,0.386008843,0.334921107,0.057971014,0
3.30662E-4,13.781502153,0.389504667,0.332539446,0.057971014,0
3.33977E-4,14.014110935,0.392516843,0.330455493,0.057971014,0
3.36891E-4,14.282521562,0.3951536,0.328073831,0.057971014,0
3.41865E-4,14.520065323,0.399626695,0.325989878,0.057971014,0
3.45674E-4,14.761227608,0.40302983,0.323905924,0.057971014,0
3.49095E-4,15.004589912,0.406069555,0.321821971,0.057971014,0
3.51996E-4,15.25049282,0.408635563,0.319738017,0.057971014,0
3.5474E-4,15.533175899,0.411052429,0.317356356,0.057971014,0
3.57935E-4,15.782796422,0.413854417,0.315272403,0.057971014,0
3.62281E-4,16.035124437,0.417643293,0.313188449,0.072463768,0
3.64449E-4,16.253262073,0.419524758,0.311402203,0.072463768,0
3.71992E-4,16.511729969,0.426022495,0.309318249,0.072463768,0
3.75276E-4,16.773423178,0.428828696,0.307234296,0.072463768,0
3.78302E-4,17.037359469,0.431402567,0.305150342,0.072463768,0
3.81301E-4,17.265510681,0.433941739,0.303364096,0.072463768,0
3.86046E-4,17.534344145,0.43793625,0.301280143,0.072463768,0
3.88334E-4,17.766666258,0.439851708,0.299493897,0.072463768,0
3.91691E-4,18.00065696,0.44265165,0.297707651,0.072463768,0
3.9705E-4,18.277718975,0.447090919,0.295623698,0.072463768,0
4.01478E-4,18.517979152,0.450733249,0.293837452,0.072463768,0
