x,y,species cloglog values
184.0,184.0,0.61876315
185.0,185.0,0.6418612
186.0,186.0,0.63867337
187.0,187.0,0.7123827
188.0,188.0,0.017225636
189.0,189.0,0.03717534
190.0,190.0,0.6067117
191.0,191.0,0.009848696
192.0,192.0,0.9251055
193.0,193.0,0.61969775
194.0,194.0,0.09616948
195.0,195.0,0.88486975
196.0,196.0,0.02271571
197.0,197.0,0.6397839
198.0,198.0,0.4510273
199.0,199.0,0.010840863
200.0,200.0,0.78935915
201.0,201.0,0.12047712
202.0,202.0,0.021058608
203.0,203.0,0.002886064
204.0,204.0,0.037569217
205.0,205.0,0.411003
206.0,206.0,0.44625136
207.0,207.0,0.6692057
208.0,208.0,0.58249134
209.0,209.0,0.07607223
210.0,210.0,0.63466936
211.0,211.0,0.1615159
212.0,212.0,0.06493085
213.0,213.0,0.07349764
214.0,214.0,0.84788644
215.0,215.0,0.19501816
216.0,216.0,0.63164943
217.0,217.0,0.7929723
218.0,218.0,0.6629991
219.0,219.0,0.23119909
220.0,220.0,7.013466E-4
221.0,221.0,0.6394459
222.0,222.0,0.15783095
223.0,223.0,0.09570484
224.0,224.0,0.0058173323
225.0,225.0,0.80577546
226.0,226.0,0.6106666
227.0,227.0,0.0568966
228.0,228.0,0.009956275
229.0,229.0,0.3954557
230.0,230.0,0.5585539
231.0,231.0,0.76695925
232.0,232.0,0.027631143
233.0,233.0,0.013587534
234.0,234.0,0.03657566
235.0,235.0,0.8612755
236.0,236.0,0.005074573
237.0,237.0,0.005703757
238.0,238.0,0.07380451
239.0,239.0,0.53618395
240.0,240.0,0.018711286
241.0,241.0,0.6009698
242.0,242.0,0.006696285
243.0,243.0,0.6822665
244.0,244.0,0.012618128
245.0,245.0,0.45656916
246.0,246.0,0.049285967
247.0,247.0,0.4967664
248.0,248.0,0.59760916
249.0,249.0,0.015289032
250.0,250.0,0.26559052
251.0,251.0,0.0068704095
252.0,252.0,0.018791365
253.0,253.0,0.005750755
254.0,254.0,0.13618886
255.0,255.0,0.40581918
256.0,256.0,0.009539689
257.0,257.0,0.58268684
258.0,258.0,0.23590913
259.0,259.0,0.004626517
260.0,260.0,0.026739515
261.0,261.0,0.00985975
262.0,262.0,0.38830587
263.0,263.0,0.8567114
264.0,264.0,0.027185591
265.0,265.0,0.14218713
266.0,266.0,0.02408627
267.0,267.0,0.47835374
268.0,268.0,0.6666725
269.0,269.0,0.112750426
270.0,270.0,0.12490054
271.0,271.0,0.3056983
272.0,272.0,0.19458489
273.0,273.0,0.006784326
274.0,274.0,0.6243447
275.0,275.0,0.8282691
276.0,276.0,0.37119085
277.0,277.0,0.013899618
278.0,278.0,0.34482023
279.0,279.0,0.6657586
280.0,280.0,0.30062994
281.0,281.0,0.3610574
282.0,282.0,9.1089355E-4
283.0,283.0,0.021677166
284.0,284.0,0.0019185883
285.0,285.0,0.012279665
286.0,286.0,0.021444404
287.0,287.0,0.020643609
288.0,288.0,0.36520067
289.0,289.0,0.011468474
290.0,290.0,0.019088322
291.0,291.0,0.72146225
292.0,292.0,0.0034140523
293.0,293.0,0.0014591672
294.0,294.0,0.52035075
295.0,295.0,0.7809956
296.0,296.0,0.60472053
297.0,297.0,0.020239584
298.0,298.0,0.04787386
299.0,299.0,0.00466931
300.0,300.0,5.698935E-4
301.0,301.0,0.021949107
302.0,302.0,0.45148048
303.0,303.0,0.5688065
304.0,304.0,0.6512057
305.0,305.0,0.41406456
306.0,306.0,0.06475972
307.0,307.0,0.40819207
308.0,308.0,0.18024774
309.0,309.0,0.9431458
310.0,310.0,0.63772917
311.0,311.0,0.59637004
312.0,312.0,0.41105244
313.0,313.0,0.012601731
314.0,314.0,0.0022031534
315.0,315.0,0.021132145
316.0,316.0,0.0040146234
317.0,317.0,0.007812135
